station_id,latitude,longitude,city,country
JFK,40.6413,-73.7781,New York City,USA
LHR,51.4700,-0.4543,London,UK
PVG,31.1434,121.8053,Shanghai,China
DXB,25.2532,55.3657,Dubai,UAE
SYD,-33.9399,151.1753,Sydney,Australia
